_id,Project ID,Planning_ID,Implementation_By,Project,Site_ID,Site_Name,HO_Date,Scope,New_RAT,New_Sector,Approval_Status,Approval_Ref,Blank,Tilt,Azimuth,Antenna_Height,New_RRU_Type,RRU_From,New_BTS_Type,BTS_From,New_Antenna_Type,Antenna_From,Cards_Type_n_From,Battery_count_n_From,Mobitel_Region,Planning_Engineer,On_Air_Target,Planning_Comments,Site_Engineer,Assigned_Date,Special_Tag,Coordinator_Comments,Sub_Contractor,Sub_Contractor_Remarks,Site_Status,Dependency,Responsible,Mobilization_Status,Mobilized_Date,Installation_Status,Installation_Date,Commissioning_Status,Commisioned_Date,SAR_Status,PAT_Status,PAT_Submitted,PAT_Pass_Date,On_Air_Status,On_Air_Date,Last Modified By,Supply_PR_Status,Supply_PR_Number,SAR_Date,SAR_Reference,PAT_Reference,Balance_Material_Returned_Date,Check_List_Verified,Material_Reconciled,Check_List_Submitted,Dependencies_On_Air_Target,Supply_BOQ_Submitted,Supply_BOQ_Approved,Power_Connected_Date,TX_Connected_Date,IMP_PR_Number
639b54bf135f56581322c1ca,62e8ed8535659d158f2e4fb2,202207005,Mobitel Direct,Other Project 2022,ZKOT24,Wellampitiya_Junction,1/18/2022,7.L2100 Activation,Card Installation,TBC,N/A,123,N/A,Existing,Existing,15,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,2/7/2021,N/A,Himantha Rajapaksha,1/19/2022,N/A,N/A,N/A,Lack of  e3 cell extension licence,Withdrawn,Approval ,Planning,Pending,,Pending,,Pending,,Pending,Pending,,,Pending,,,,,,,,,,,,,,,,,
639b54bf135f56581322c1cf,62e8ed8535659d158f2e4fb7,202207010,Mobitel Direct,Other Project 2022,ZBAT28,Robert_Gunawardana_Mw,1/18/2022,L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,15,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,2/12/2021,N/A,Indika Shantha,1/19/2022,N/A,N/A,N/A,N/A,On Air,N/A,N/A,Completed,2/2/2022,Completed,2/4/2022,Completed,2/2/2022,Pending,Pass,2/2/2022,2/17/2022,Completed,2/18/2022,,,,,,,,,,,,,,,,
639b54bf135f56581322c1d3,62e8ed8535659d158f2e4fbb,202207014,Mobitel Direct,Other Project 2022,ZMRT27,Zoysa_flat,1/18/2022,7.L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,18,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,2/16/2021,N/A,Indika Shantha,1/19/2022,N/A,N/A,N/A,Card removal Mapping cant proceed ZKOT24,Withdrawn,Approval ,Planning,Pending,,Pending,,Pending,,Pending,Pending,,,Pending,,,,,,,,,,,,,,,,,
639b54bf135f56581322c1d7,62e8ed8535659d158f2e4fbf,202207018,Mobitel Direct,Other Project 2022,ZDOM01,Dompe,1/18/2022,L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,60,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,2/20/2021,N/A,Suranga Gunawardhana,1/19/2022,N/A,N/A,N/A,PAT Approval Pending,PAT Submitted,Approval ,Operation,Completed,2/22/2022,Completed,2/24/2022,Completed,2/22/2022,Pending,Pending,,,Completed,2/22/2022,,,,,,,,,,,,,,,,
639b54bf135f56581322c1db,62e8ed8535659d158f2e4fc3,202207022,Mobitel Direct,Other Project 2022,ZDOM08,Pepiliyawala,1/18/2022,L2100 Activation,Card Installation,TBC,N/A,123,N/A,Existing,Existing,40,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,2/24/2021,N/A,Suranga Gunawardhana,1/19/2022,N/A,N/A,N/A,PAT Approval Pending,PAT Submitted,Approval ,Operation,Completed,1/26/2022,Completed,1/28/2022,Completed,1/26/2022,Pending,Pending,,,Completed,1/26/2022,,,,,,,,,,,,,,,,
639b54bf135f56581322c1e4,62e8ed8535659d158f2e4fcc,202207031,Mobitel Direct,Other Project 2022,ZJAL22,Welisara_West,1/18/2022,7.L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,50,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,3/5/2021,N/A,Suranga Gunawardhana,1/19/2022,N/A,N/A,N/A,Lack of  e3 cell extension licence,Withdrawn,Approval ,Planning,Pending,,Pending,,Pending,,Pending,Pending,,,Pending,,,,,,,,,,,,,,,,,
639b54bf135f56581322c1f0,62e8ed8535659d158f2e4fd8,202207043,Mobitel Direct,Other Project 2022,ZKEL29,Totalanga_2,1/18/2022,L2100 Activation,Card Installation,TBC,N/A,123,N/A,Existing,Existing,70,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,3/17/2021,N/A,Mohamed Imran,1/19/2022,N/A,N/A,N/A,SAR Submission Pending,Commissioned,Submission,Project,Completed,1/28/2022,Completed,1/30/2022,Completed,1/28/2022,Pending,Pass,1/28/2022,7/18/2022,Completed,1/28/2022,,,,,,,,,,,,,,,,
639b54bf135f56581322c1f4,62e8ed8535659d158f2e4fdc,202207047,Mobitel Direct,Other Project 2022,ZWAT23,Kerawalapitiya_rd,1/18/2022,L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,18,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,3/21/2021,N/A,Indika Shantha,1/19/2022,N/A,N/A,L & H,N/A,On Air,N/A,N/A,Completed,4/8/2022,Completed,4/10/2022,Completed,4/8/2022,Pending,Pass,4/8/2022,4/20/2022,Completed,4/21/2022,,,,,,,,,,,,,,,,
639b54bf135f56581322c1f5,62e8ed8535659d158f2e4fdd,202207048,Mobitel Direct,Other Project 2022,ZBAT09,Udumulla,1/18/2022,7.L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,60,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,3/22/2021,N/A,Suranga Gunawardhana,1/19/2022,N/A,N/A,N/A,Installation Pending,Installation Pending,Implementation,Project,Pending,,Pending,,Pending,,Pending,Pending,,,Pending,,,,,,,,,,,,,,,,,
639b54bf135f56581322c1f7,62e8ed8535659d158f2e4fdf,202207050,Mobitel Direct,Other Project 2022,ZKDU05,Weliwita,1/18/2022,7.L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,50,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,3/24/2021,N/A,Suranga Gunawardhana,1/19/2022,N/A,N/A,N/A,Lack of  e3 cell extension licence,Withdrawn,Approval ,Planning,Pending,,Pending,,Pending,,Pending,Pending,,,Pending,,,,,,,,,,,,,,,,,
