_id,Planning_ID,Implementation_By,Project,Site_ID,Site_Name,HO_Date,Scope,New_RAT,New_Sector,Approval_Status,Approval_Ref,IMP_Scenario,blank1,blank2,blank3,Tilt,Azimuth,Antenna_Height,New_RRU_Type,RRU_From,New_BTS_Type,BTS_From,New_Antenna_Type,Antenna_From,Cards_Type_n_From,Battery_count_n_From,Mobitel_Region,Planning_Engineer,On_Air_Target,Planning_Comments,Site_Engineer,Assigned_Date,Special_Tag,Coordinator_Comments,Sub_Contractor,Sub_Contractor_Remarks,Site_Status,Dependency,Responsible,Mobilization_Status,Mobilized_Date,Installation_Status,Installation_Date,Commissioning_Status,Commisioned_Date,SAR_Status,PAT_Status,PAT_Pass_Date,On_Air_Status,On_Air_Date,__v,createdAt,updatedAt,AWR_1,AWR_2,AWR_3,Approval_Received_Date,BOI_Approved,Balance_Material_Returned_Date,COW_Approved,COW_Number,COW_Submitted,CPL_Approved,CPL_Number,CPL_Submitted,Capitalization_Status,Capitalized_Date,Check_List_Submitted,Check_List_Verified,Civil_PAT_Date,Dependencies_On_Air_Target,ETA,FAC_Approved,FAC_Number,FAC_Submitted,Finance_Remarks,HO_Modification,HO_Modified_Date,ICL_Approved,IMP_PO_Issued,IMP_PO_Number,IMP_PR_Approved_Date,IMP_PR_Number,IMP_PR_Raised,IMP_PR_Submitted,Logistics_Remarks,MCW_Completed_Date,MCW_Requested_Date,Material_Reconciled,PAC_Invoice_Approved,PAC_Invoice_Number,PAC_Invoice_Submitted,PAT_Reference,PAT_Submitted,PI_Approved_ENG,PI_Number,PI_Submitted,PO_Closed_Date,PO_Status,Payment_Confirmed,Payment_Method,Port_Clearance,Power_Connected_Date,Received_To_Port,SAQ_Clearance_Date,SAR_Date,SAR_Reference,Supply_BOQ_Approved,Supply_BOQ_Submitted,Supply_PO_Issued,Supply_PO_Number,Supply_PR_Approved_Date,Supply_PR_Number,Supply_PR_Raise,Supply_PR_Status,Supply_PR_Submitted,TRC_Approved,TSSR_Approved_Date,TSSR_Referance,TSSR_Submitted_Date,TX_Connected_Date,currentUser
62e90ff2092ec9454c92a0ce,202201027,Mobitel Direct,Other Project 2022,KLBEN1,Edit 15,2022-03-11,1. Miscellaneous HO Huawei2022,Edit 15,TBC,Approved,1900-05-02,TBC,N/A,N/A,N/A,N/A,Edit,Edit,N/A,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,2020-01-27,N/A,Dumindu Chamikara,2022-03-14,N/A,N/A,Suvitech,PAT Approval Pending,Commissioned / PAT Approval Pending,Approval,Operation,Completed,2022-04-01,Completed,2022-04-03,Completed,2022-05-03,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.368Z,2022-08-26T06:24:58.218Z,Edit 08-40,Edit 08-40,Edit 08-40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0cf,202201028,Mobitel Direct,Other Project 2022,RTTKP1,Edit 16,2022-03-11,1. Miscellaneous HO Huawei2022,Edit 16,TBC,Approved,1900-05-02,TBC,N/A,N/A,N/A,4 for all,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Tiresh,2020-01-28,9m FTD pole implementation done by Mobitel Civil team			Need to completed before 20th March 2022,Shehan Perera,2022-03-13,New Site,N/A,L & H,PAT Approval Pending,Commissioned / PAT Approval Pending,Approval,Operation,Completed,2022-04-01,Completed,2022-04-03,Completed,2022-04-01,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.368Z,2022-08-26T06:24:58.218Z,Edit 08-41,Edit 08-41,Edit 08-41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0d0,202201029,Mobitel Direct,Other Project 2022,IBGDZ1,Edit 17,2022-03-15,1. Miscellaneous HO Huawei2022,Edit 17,TBC,N/A,1900-05-02,TBC,N/A,N/A,N/A,Existing,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Rabel,2020-01-29,N/A,Suranga Gunawardhana,2022-03-15,N/A,N/A,null,N/A,PAT Pass / On Air,N/A,N/A,Pending,null,Pending,null,Pending,null,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.369Z,2022-08-26T06:24:58.218Z,Edit 08-42,Edit 08-42,Edit 08-42,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-42,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0d4,202201033,Mobitel Direct,Other Project 2022,IBARM1,Edit 18,2022-03-15,1. Miscellaneous HO Huawei2022,Edit 18,TBC,N/A,1900-05-02,TBC,N/A,N/A,N/A,Existing,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,2020-02-02,N/A,Suranga Gunawardhana,2022-03-15,N/A,N/A,null,N/A,PAT Pass / On Air,N/A,N/A,Pending,null,Pending,null,Pending,null,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.373Z,2022-08-26T06:24:58.218Z,Edit 08-43,Edit 08-43,Edit 08-43,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-43,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0d3,202201032,Mobitel Direct,Other Project 2022,IBPLM1,Edit 19,2022-03-15,1. Miscellaneous HO Huawei2022,Edit 19,TBC,N/A,1900-05-02,TBC,N/A,N/A,N/A,Existing,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chandimal,2020-02-01,N/A,Suranga Gunawardhana,2022-03-15,N/A,N/A,null,N/A,PAT Pass / On Air,N/A,N/A,Pending,null,Pending,null,Pending,null,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.373Z,2022-08-26T06:24:58.219Z,Edit 08-44,Edit 08-44,Edit 08-44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0db,202201040,Mobitel Direct,Other Project 2022,IBIRD1,Edit 20,2022-03-15,1. Miscellaneous HO Huawei2022,Edit 20,TBC,N/A,1900-05-02,TBC,N/A,N/A,N/A,Existing,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,2020-02-09,N/A,Suranga Gunawardhana,2022-03-15,N/A,N/A,null,Implementation Pending,Installation Pending,Implementation,Project-IBS,Pending,null,Pending,null,Pending,null,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.375Z,2022-08-26T06:24:58.219Z,Edit 08-45,Edit 08-45,Edit 08-45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0df,202201044,Mobitel Direct,Other Project 2022,BTKLR2,Edit 21,2022-03-18,1. Miscellaneous HO Huawei2022,Edit 21,TBC,Pending,1900-05-02,TBC,N/A,N/A,N/A,Existing,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chamith,2020-02-13,N/A,Dumindu Chamikara,2022-03-21,N/A,N/A,null,Removal Pending,Installation Pending,Approval,Project,Pending,null,Pending,null,Pending,null,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.378Z,2022-08-26T06:24:58.219Z,Edit 08-46,Edit 08-46,Edit 08-46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0e4,202201049,Mobitel Direct,Other Project 2022,COL011,Edit 22,2022-03-18,1. Miscellaneous HO Huawei2022,Edit 22,TBC,N/A,1900-05-02,TBC,N/A,N/A,N/A,Existing,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Thilanka,2020-02-18,Need to complete before 25th March 2022,Shehan Perera,2022-03-21,VIP Capacity Upgrade,N/A,L&H,There is no PAT since itz only a removal,SAR Approved,N/A,N/A,Completed,2022-03-23,Completed,2022-03-25,Completed,2022-03-25,Approved,Pending,null,Pending,null,0,2022-08-02T11:52:18.380Z,2022-08-26T06:24:58.220Z,Edit 08-47,Edit 08-47,Edit 08-47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2022-03-25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0c4,202201017,Mobitel Direct,Other Project 2022,AMLAH3,Edit 23,2022-01-31,1. Miscellaneous HO Huawei2022,Edit 23,TBC,Pending,1900-05-02,TBC,N/A,N/A,N/A,4 for all,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chamith,2020-01-17,This is relocation of  AMLAH2 site			Please proceed BTS relocation technology wise during minimum down time 			After relocation complete need to remove all the equipment from AMLAH2.,Dumindu Chamikara,2022-02-10,New Site,N/A,null,TSSR Approval Pending/MCW Pending,Installation Pending,Implementation,Project,Pending,null,Pending,null,Pending,null,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.362Z,2022-08-26T06:24:58.220Z,Edit 08-48,Edit 08-48,Edit 08-48,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-48,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0cd,202201026,Mobitel Direct,Other Project 2022,ZMAH26,Edit 24,2022-03-11,1. Miscellaneous HO Huawei2022,Edit 24,TBC,N/A,1900-05-02,TBC,N/A,N/A,N/A,N/A,Edit,Edit,N/A,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,2020-01-26,N/A,Indika Shantha,2022-03-14,N/A,N/A,L&H,PAT Approval Pending,Commissioned / PAT Approval Pending,Approval,Operation,Completed,2022-05-26,Completed,2022-05-28,Completed,2022-05-26,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.368Z,2022-08-26T06:24:58.220Z,Edit 08-49,Edit 08-49,Edit 08-49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
